Fecha,Categoria,Contador,Lectura Anterior,Lectura Actual,Consumo,Unidad
2026-02-02,Electricidad,"MEDIDA 1 (0,18)",48927,48927,0,kWh
2026-02-02,Electricidad,"MEDIDA 1 (0,58)",120,120,0,kWh
2026-02-02,Electricidad,"MEDIDA 1 (0,88)",26977,26977,0,kWh
2026-02-02,Agua,Agua Potable METER-2-1,11905,11905,0,m³
2026-02-02,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-03-03,Electricidad,"MEDIDA 1 (0,18)",48927,49190,263,kWh
2026-03-03,Electricidad,"MEDIDA 1 (0,58)",120,120,0,kWh
2026-03-03,Electricidad,"MEDIDA 1 (0,88)",26977,27139,162,kWh
2026-03-03,Agua,Agua Potable METER-2-1,11905,11912,7,m³
2026-03-03,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-04,Electricidad,"MEDIDA 1 (0,18)",49190,49450,260,kWh
2026-04-04,Electricidad,"MEDIDA 1 (0,58)",120,120,0,kWh
2026-04-04,Electricidad,"MEDIDA 1 (0,88)",27139,27301,162,kWh
2026-04-04,Agua,Agua Potable METER-2-1,11912,11921,9,m³
2026-04-04,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-21,Electricidad,"MEDIDA 1 (0,18)",49450,62099,12649,kWh
2026-04-21,Electricidad,"MEDIDA 1 (0,58)",120,121,1,kWh
2026-04-21,Electricidad,"MEDIDA 1 (0,88)",27301,35554,8253,kWh
2026-04-21,Agua,Agua Potable METER-2-1,11921,12443,522,m³
2026-04-21,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-22,Electricidad,"MEDIDA 1 (0,18)",62099,62388,289,kWh
2026-04-22,Electricidad,"MEDIDA 1 (0,58)",121,121,0,kWh
2026-04-22,Electricidad,"MEDIDA 1 (0,88)",35554,35690,136,kWh
2026-04-22,Agua,Agua Potable METER-2-1,12443,12455,12,m³
2026-04-22,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-23,Electricidad,"MEDIDA 1 (0,18)",62388,62745,357,kWh
2026-04-23,Electricidad,"MEDIDA 1 (0,58)",121,121,0,kWh
2026-04-23,Electricidad,"MEDIDA 1 (0,88)",35690,35872,182,kWh
2026-04-23,Agua,Agua Potable METER-2-1,12455,12466,11,m³
2026-04-23,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-24,Electricidad,"MEDIDA 1 (0,18)",62745,63004,259,kWh
2026-04-24,Electricidad,"MEDIDA 1 (0,58)",121,121,0,kWh
2026-04-24,Electricidad,"MEDIDA 1 (0,88)",35872,36016,144,kWh
2026-04-24,Agua,Agua Potable METER-2-1,12466,12478,12,m³
2026-04-24,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-27,Electricidad,"MEDIDA 1 (0,18)",63004,63683,679,kWh
2026-04-27,Electricidad,"MEDIDA 1 (0,58)",121,121,0,kWh
2026-04-27,Electricidad,"MEDIDA 1 (0,88)",36016,36544,528,kWh
2026-04-27,Agua,Agua Potable METER-2-1,12478,12519,41,m³
2026-04-27,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-28,Electricidad,"MEDIDA 1 (0,18)",63683,63897,214,kWh
2026-04-28,Electricidad,"MEDIDA 1 (0,58)",121,121,0,kWh
2026-04-28,Electricidad,"MEDIDA 1 (0,88)",36544,36701,157,kWh
2026-04-28,Agua,Agua Potable METER-2-1,12519,12521,2,m³
2026-04-28,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-29,Electricidad,"MEDIDA 1 (0,18)",63897,64350,453,kWh
2026-04-29,Electricidad,"MEDIDA 1 (0,58)",121,126,5,kWh
2026-04-29,Electricidad,"MEDIDA 1 (0,88)",36701,36819,118,kWh
2026-04-29,Agua,Agua Potable METER-2-1,12521,12532,11,m³
2026-04-29,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-04-30,Electricidad,"MEDIDA 1 (0,18)",64350,64799,449,kWh
2026-04-30,Electricidad,"MEDIDA 1 (0,58)",126,126,0,kWh
2026-04-30,Electricidad,"MEDIDA 1 (0,88)",36819,36942,123,kWh
2026-04-30,Agua,Agua Potable METER-2-1,12532,12545,13,m³
2026-04-30,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-04,Electricidad,"MEDIDA 1 (0,18)",64799,65599,800,kWh
2026-05-04,Electricidad,"MEDIDA 1 (0,58)",126,126,0,kWh
2026-05-04,Electricidad,"MEDIDA 1 (0,88)",36942,37663,721,kWh
2026-05-04,Agua,Agua Potable METER-2-1,12545,12588,43,m³
2026-05-04,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-05,Electricidad,"MEDIDA 1 (0,18)",65599,65846,247,kWh
2026-05-05,Electricidad,"MEDIDA 1 (0,58)",126,127,1,kWh
2026-05-05,Electricidad,"MEDIDA 1 (0,88)",37663,37840,177,kWh
2026-05-05,Agua,Agua Potable METER-2-1,12588,12610,22,m³
2026-05-05,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-06,Electricidad,"MEDIDA 1 (0,18)",65846,66095,249,kWh
2026-05-06,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-06,Electricidad,"MEDIDA 1 (0,88)",37840,38017,177,kWh
2026-05-06,Agua,Agua Potable METER-2-1,12610,12637,27,m³
2026-05-06,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-07,Electricidad,"MEDIDA 1 (0,18)",66095,66344,249,kWh
2026-05-07,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-07,Electricidad,"MEDIDA 1 (0,88)",38017,38191,174,kWh
2026-05-07,Agua,Agua Potable METER-2-1,12637,12648,11,m³
2026-05-07,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-08,Electricidad,"MEDIDA 1 (0,18)",66344,66571,227,kWh
2026-05-08,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-08,Electricidad,"MEDIDA 1 (0,88)",38191,38375,184,kWh
2026-05-08,Agua,Agua Potable METER-2-1,12648,12661,13,m³
2026-05-08,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-11,Electricidad,"MEDIDA 1 (0,18)",66571,67098,527,kWh
2026-05-11,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-11,Electricidad,"MEDIDA 1 (0,88)",38375,38892,517,kWh
2026-05-11,Agua,Agua Potable METER-2-1,12661,12696,35,m³
2026-05-11,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-12,Electricidad,"MEDIDA 1 (0,18)",67098,67323,225,kWh
2026-05-12,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-12,Electricidad,"MEDIDA 1 (0,88)",38892,39071,179,kWh
2026-05-12,Agua,Agua Potable METER-2-1,12696,12712,16,m³
2026-05-12,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-13,Electricidad,"MEDIDA 1 (0,18)",67323,67598,275,kWh
2026-05-13,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-13,Electricidad,"MEDIDA 1 (0,88)",39071,39222,151,kWh
2026-05-13,Agua,Agua Potable METER-2-1,12712,12818,106,m³
2026-05-13,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-14,Electricidad,"MEDIDA 1 (0,18)",67598,67992,394,kWh
2026-05-14,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-14,Electricidad,"MEDIDA 1 (0,88)",39222,39431,209,kWh
2026-05-14,Agua,Agua Potable METER-2-1,12818,12924,106,m³
2026-05-14,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-15,Electricidad,"MEDIDA 1 (0,18)",67992,68386,394,kWh
2026-05-15,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-15,Electricidad,"MEDIDA 1 (0,88)",39431,39640,209,kWh
2026-05-15,Agua,Agua Potable METER-2-1,12924,13030,106,m³
2026-05-15,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-18,Electricidad,"MEDIDA 1 (0,18)",68386,68913,527,kWh
2026-05-18,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-18,Electricidad,"MEDIDA 1 (0,88)",39640,40157,517,kWh
2026-05-18,Agua,Agua Potable METER-2-1,13030,13065,35,m³
2026-05-18,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-19,Electricidad,"MEDIDA 1 (0,18)",68913,69265,352,kWh
2026-05-19,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-19,Electricidad,"MEDIDA 1 (0,88)",40157,40219,62,kWh
2026-05-19,Agua,Agua Potable METER-2-1,13065,13081,16,m³
2026-05-19,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-20,Electricidad,"MEDIDA 1 (0,18)",69265,69451,186,kWh
2026-05-20,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-20,Electricidad,"MEDIDA 1 (0,88)",40219,40350,131,kWh
2026-05-20,Agua,Agua Potable METER-2-1,13081,13103,22,m³
2026-05-20,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-21,Electricidad,"MEDIDA 1 (0,18)",69451,69695,244,kWh
2026-05-21,Electricidad,"MEDIDA 1 (0,58)",127,127,0,kWh
2026-05-21,Electricidad,"MEDIDA 1 (0,88)",40350,40521,171,kWh
2026-05-21,Agua,Agua Potable METER-2-1,13103,13106,3,m³
2026-05-21,Agua,Agua PCI METER-2-2,593,593,0,m³
2026-05-22,Electricidad,"MEDIDA 1 (0,18)",69695,69959,264,kWh
